timestamp,consumption_kwh,production_kwh
2025-01-01 00:00:00,0.26,0.00
2025-01-01 01:00:00,3.63,0.00
2025-01-01 02:00:00,0.22,0.00
2025-01-01 03:00:00,0.33,0.00
2025-01-01 04:00:00,1.79,0.00
2025-01-01 05:00:00,3.62,0.00
2025-01-01 06:00:00,1.00,0.00
2025-01-01 07:00:00,1.14,0.00
2025-01-01 08:00:00,0.79,0.00
2025-01-01 09:00:00,0.75,0.45
2025-01-01 10:00:00,0.51,1.79
2025-01-01 11:00:00,0.47,1.81
2025-01-01 12:00:00,0.55,1.39
2025-01-01 13:00:00,0.72,1.07
2025-01-01 14:00:00,0.55,1.73
2025-01-01 15:00:00,0.78,1.43
2025-01-01 16:00:00,0.71,0.80
2025-01-01 17:00:00,1.06,0.41
2025-01-01 18:00:00,0.85,0.00
2025-01-01 19:00:00,1.10,0.00
2025-01-01 20:00:00,1.36,0.00
2025-01-01 21:00:00,1.25,0.00
2025-01-01 22:00:00,3.17,0.00
2025-01-01 23:00:00,0.54,0.00
2025-01-02 00:00:00,0.24,0.00
2025-01-02 01:00:00,3.23,0.00
2025-01-02 02:00:00,3.23,0.00
2025-01-02 03:00:00,0.21,0.00
2025-01-02 04:00:00,2.01,0.00
2025-01-02 05:00:00,2.32,0.00
2025-01-02 06:00:00,0.79,0.00
2025-01-02 07:00:00,1.03,0.00
2025-01-02 08:00:00,1.02,0.00
2025-01-02 09:00:00,0.64,0.45
2025-01-02 10:00:00,0.63,1.11
2025-01-02 11:00:00,0.58,0.73
2025-01-02 12:00:00,0.43,1.62
2025-01-02 13:00:00,0.75,1.81
2025-01-02 14:00:00,0.65,1.70
2025-01-02 15:00:00,0.61,1.42
2025-01-02 16:00:00,0.80,1.17
2025-01-02 17:00:00,1.37,0.41
2025-01-02 18:00:00,0.97,0.00
2025-01-02 19:00:00,1.08,0.00
2025-01-02 20:00:00,1.06,0.00
2025-01-02 21:00:00,1.13,0.00
2025-01-02 22:00:00,2.13,0.00
2025-01-02 23:00:00,0.56,0.00
